BJD,mag,filter,instrument
2460082.235479808,0.11596681,TESS,TESS
2460082.2377945967,0.10794584,TESS,TESS
2460082.240109386,0.108977854,TESS,TESS
2460082.242424175,0.09864666,TESS,TESS
2460082.2447389644,0.10176979,TESS,TESS
2460082.247053753,0.097634606,TESS,TESS
2460082.2493685423,0.09424041,TESS,TESS
2460082.2516833316,0.0937748,TESS,TESS
2460082.2539981203,0.08582607,TESS,TESS
2460082.2563129095,0.08423303,TESS,TESS
2460082.2586276988,0.07663122,TESS,TESS
2460082.260942488,0.07236034,TESS,TESS
2460082.2632572767,0.07100252,TESS,TESS
2460082.265572066,0.06925192,TESS,TESS
2460082.267886855,0.06260456,TESS,TESS
2460082.2702016444,0.055527456,TESS,TESS
2460082.272516433,0.05510825,TESS,TESS
2460082.2748312224,0.04745522,TESS,TESS
2460082.2771460116,0.043879613,TESS,TESS
2460082.279460801,0.047790874,TESS,TESS
2460082.2817755896,0.042491313,TESS,TESS
2460082.284090379,0.04581532,TESS,TESS
2460082.286405168,0.03291773,TESS,TESS
2460082.288719957,0.03402563,TESS,TESS
2460082.291034746,0.038741168,TESS,TESS
2460082.293349535,0.024428781,TESS,TESS
2460082.2956643244,0.019224903,TESS,TESS
2460082.2979791136,0.01724097,TESS,TESS
2460082.3002939024,0.020676684,TESS,TESS
2460082.3026086916,0.023677085,TESS,TESS
2460082.304923481,0.01763311,TESS,TESS
2460082.30723827,0.023880953,TESS,TESS
2460082.3095530593,0.019987628,TESS,TESS
2460082.311867848,0.01712006,TESS,TESS
2460082.3141826373,0.023249034,TESS,TESS
2460082.3164974265,0.019495668,TESS,TESS
2460082.3188122157,0.017595883,TESS,TESS
2460082.321127005,0.025732199,TESS,TESS
2460082.3234417937,0.016704049,TESS,TESS
2460082.325756583,0.010667095,TESS,TESS
2460082.328071372,0.014793067,TESS,TESS
2460082.3303861613,0.021939017,TESS,TESS
2460082.33270095,0.009473605,TESS,TESS
2460082.3350157393,0.015157814,TESS,TESS
2460082.3373305285,0.014493108,TESS,TESS
2460082.3396453178,0.01215498,TESS,TESS
2460082.341960107,0.019612888,TESS,TESS
2460082.3442748957,0.011521672,TESS,TESS
2460082.346589685,0.009146592,TESS,TESS
2460082.348904474,0.019846706,TESS,TESS
2460082.3512192634,0.0151595855,TESS,TESS
2460082.3535340526,0.005479041,TESS,TESS
2460082.355848842,0.012339022,TESS,TESS
2460082.3581636306,0.019001096,TESS,TESS
2460082.36047842,0.016155768,TESS,TESS
2460082.362793209,0.017670538,TESS,TESS
2460082.3651079983,0.016354812,TESS,TESS
2460082.3674227875,0.013340284,TESS,TESS
2460082.369737576,0.01265973,TESS,TESS
2460082.3720523654,0.014269357,TESS,TESS
2460082.3743671547,0.009898543,TESS,TESS
2460082.376681944,0.018096328,TESS,TESS
2460082.378996733,0.01546741,TESS,TESS
2460082.3813115223,0.011294346,TESS,TESS
2460082.383626311,0.009806334,TESS,TESS
2460082.3859411003,0.0100517,TESS,TESS
2460082.3882558895,0.017589834,TESS,TESS
2460082.3905706787,0.010312019,TESS,TESS
2460082.392885468,0.014497962,TESS,TESS
2460082.395200257,-0.00126625,TESS,TESS
2460082.3975150464,0.011217447,TESS,TESS
2460082.399829835,0.008994214,TESS,TESS
2460082.4021446244,0.0015442249,TESS,TESS
2460082.4044594136,0.012650435,TESS,TESS
2460082.406774203,0.009737965,TESS,TESS
2460082.409088992,0.0020599524,TESS,TESS
2460082.4114037813,0.001445658,TESS,TESS
2460082.4137185705,0.014086364,TESS,TESS
2460082.4160333592,0.00912884,TESS,TESS
2460082.4183481485,0.011027516,TESS,TESS
2460082.4206629377,0.011767167,TESS,TESS
2460082.422977727,0.00888479,TESS,TESS
2460082.425292516,0.00035113524,TESS,TESS
2460082.4276073053,0.0076801567,TESS,TESS
2460082.4299220946,0.009540586,TESS,TESS
2460082.432236884,0.012135413,TESS,TESS
2460082.4345516725,0.0020733736,TESS,TESS
2460082.4368664618,0.0129966475,TESS,TESS
2460082.439181251,0.0049222917,TESS,TESS
2460082.44149604,0.0051415893,TESS,TESS
2460082.4438108294,0.0018362848,TESS,TESS
2460082.4461256186,0.004473497,TESS,TESS
2460082.448440408,0.013025072,TESS,TESS
2460082.450755197,0.0020884813,TESS,TESS
2460082.453069986,0.0058780196,TESS,TESS
2460082.455384775,-0.0012936569,TESS,TESS
2460082.4576995643,0.0015199226,TESS,TESS
2460082.4600143535,0.007730603,TESS,TESS
2460082.4623291427,0.00979053,TESS,TESS
2460082.464643932,0.002605894,TESS,TESS
2460082.466958721,0.010027729,TESS,TESS
2460082.4692735104,0.006752536,TESS,TESS
2460082.4715882996,0.000101413025,TESS,TESS
2460082.473903089,0.0067066937,TESS,TESS
2460082.4762178776,0.0045228847,TESS,TESS
2460082.478532667,0.007933649,TESS,TESS
2460082.480847456,0.009925059,TESS,TESS
2460082.4831622452,0.0034244135,TESS,TESS
2460082.4854770345,0.0023092171,TESS,TESS
2460082.4877918237,-0.0018827359,TESS,TESS
2460082.490106613,0.0034933602,TESS,TESS
2460082.492421402,0.008938555,TESS,TESS
2460082.4947361914,0.007773295,TESS,TESS
2460082.4970509806,0.0014472133,TESS,TESS
2460082.49936577,0.0021731649,TESS,TESS
2460082.501680559,0.002352086,TESS,TESS
2460082.503995348,0.0015564736,TESS,TESS
2460082.506310137,-0.0011200258,TESS,TESS
2460082.508624926,0.0029254283,TESS,TESS
2460082.5109397154,-0.0073620626,TESS,TESS
2460082.5132545047,0.0070213797,TESS,TESS
2460082.515569294,-0.0013351535,TESS,TESS
2460082.517884083,0.0011157406,TESS,TESS
2460082.5201988723,-0.0041784868,TESS,TESS
2460082.5225136615,-0.0023556545,TESS,TESS
2460082.5248284508,-0.0009836095,TESS,TESS
2460082.52714324,0.0029012247,TESS,TESS
2460082.529458029,0.0010293255,TESS,TESS
2460082.5317728184,-0.0062619727,TESS,TESS
2460082.5340876076,-0.0012747825,TESS,TESS
2460082.536402397,-0.010678857,TESS,TESS
2460082.538717186,0.00032893106,TESS,TESS
2460082.5410319753,-0.0031467932,TESS,TESS
2460082.543346764,-0.0007729387,TESS,TESS
2460082.5456615533,-0.018848049,TESS,TESS
2460082.5479763425,-0.013604209,TESS,TESS
2460082.5502911317,-0.0005798203,TESS,TESS
2460082.552605921,-0.0027308976,TESS,TESS
2460082.55492071,-0.005525642,TESS,TESS
2460082.5572354994,-0.0066916975,TESS,TESS
2460082.5595502886,-0.0050798682,TESS,TESS
2460082.561865078,-0.003920462,TESS,TESS
2460082.564179867,-0.007375046,TESS,TESS
2460082.5664946563,-0.010168776,TESS,TESS
2460082.5688094455,-0.004084233,TESS,TESS
2460082.5711242347,-0.0035976188,TESS,TESS
2460082.573439024,-0.003187187,TESS,TESS
2460082.575753813,-0.012196912,TESS,TESS
2460082.5780686024,0.0002902852,TESS,TESS
2460082.5803833916,-0.00836677,TESS,TESS
2460082.582698181,-0.0090644695,TESS,TESS
2460082.58501297,-0.009150334,TESS,TESS
2460082.5873277592,-0.0059941453,TESS,TESS
2460082.5896425485,-0.011648234,TESS,TESS
2460082.5919573377,-0.004967011,TESS,TESS
2460082.594272127,-0.012532562,TESS,TESS
2460082.596586916,0.0010613904,TESS,TESS
2460082.5989017054,-0.010573886,TESS,TESS
2460082.6012164946,-0.009724392,TESS,TESS
2460082.603531284,-0.007309739,TESS,TESS
2460082.605846073,-0.0073956144,TESS,TESS
2460082.6081608622,-0.0070267385,TESS,TESS
2460082.6104756515,-0.012736487,TESS,TESS
2460082.6127904407,-0.014662538,TESS,TESS
2460082.61510523,-0.01119395,TESS,TESS
2460082.617420019,-0.008809528,TESS,TESS
2460082.6197348083,-0.010913755,TESS,TESS
2460082.6220495976,-0.0071139224,TESS,TESS
2460082.624364387,-0.011874985,TESS,TESS
2460082.626679176,-0.010445448,TESS,TESS
2460082.628993965,-0.011168329,TESS,TESS
2460082.6313087544,-0.011852709,TESS,TESS
2460082.6336235437,-0.020666916,TESS,TESS
2460082.635938333,-0.012205998,TESS,TESS
2460082.638253122,-0.014589239,TESS,TESS
2460082.6405679113,-0.0061264588,TESS,TESS
2460082.6428827005,-0.011719044,TESS,TESS
2460082.6451974898,-0.017323475,TESS,TESS
2460082.647512279,-0.012839969,TESS,TESS
2460082.649827068,-0.011525044,TESS,TESS
2460082.6521418574,-0.016845182,TESS,TESS
2460082.6544566466,-0.012604593,TESS,TESS
2460082.656771436,-0.019988582,TESS,TESS
2460082.659086225,-0.014295229,TESS,TESS
2460082.6614010143,-0.01746244,TESS,TESS
2460082.6637158035,-0.020177264,TESS,TESS
2460082.6660305928,-0.016202325,TESS,TESS
2460082.668345382,-0.006404933,TESS,TESS
2460082.670660171,-0.011886124,TESS,TESS
2460082.6729749604,-0.010196986,TESS,TESS
2460082.6752897496,-0.01554046,TESS,TESS
2460082.677604539,-0.017006887,TESS,TESS
2460082.679919328,-0.016662166,TESS,TESS
2460082.6822341173,-0.010577733,TESS,TESS
2460082.6845489065,-0.0242158,TESS,TESS
2460082.6868636957,-0.014675947,TESS,TESS
2460082.689178485,-0.021649878,TESS,TESS
2460082.691493274,-0.011352144,TESS,TESS
2460082.6938080634,-0.010007331,TESS,TESS
2460082.6961228526,-0.011792024,TESS,TESS
2460082.698437642,-0.012328727,TESS,TESS
2460082.700752431,-0.015836813,TESS,TESS
2460082.7030672203,-0.012841504,TESS,TESS
2460082.7053820095,-0.01820434,TESS,TESS
