time,flux,flux_model
1360.9834873599757,1.0000062,0.9999394
1361.0039204723143,1.0000153,0.99993896
1361.0243534841793,0.99998873,0.9999362
1361.044786395818,0.99996996,0.9999364
1361.0652195072253,0.9999247,0.999935
1361.0856525183917,1.000016,0.99993515
1361.1060856293334,0.9999128,0.9999341
1361.1265185398079,0.9998812,0.99993217
1361.146951550043,1.0000225,0.99993217
1361.1673846600534,0.99995977,0.99993217
1361.1878175695965,0.9998353,0.9999324
1361.2082505789003,0.9998664,0.99992925
1361.2286836879794,0.9999912,0.99992794
1361.2491166968248,0.99987465,0.9999295
1361.2695496054293,0.99989736,0.99992675
1361.289982713577,0.9999842,0.9999232
1361.3104157214839,1.0000578,0.999921
1361.3308486289316,0.999864,0.9999175
1361.3512817363808,0.99980634,0.9999161
1361.3717146433628,0.9998905,0.99991614
1361.3921476501055,0.99987894,0.9999149
1361.4125807566234,0.99994934,0.9999132
1361.4330137626675,1.0000268,0.99991316
1361.453446768719,0.99982,0.9999121
1361.4738797743048,0.99985474,0.9999096
1361.4943126794242,0.99997497,0.99990696
1361.5147457845378,0.9998334,0.99990714
1361.5351787891923,0.9999513,0.9999067
1361.555611693606,1.000047,0.9999051
1361.5760447977955,0.9999157,0.9999024
1361.5964778015186,0.9999982,0.99989927
1361.6169107050082,0.99997693,0.9998994
1361.6373438082592,0.9998769,0.9999009
1361.6577768112838,0.99985576,0.999897
1361.6782098140684,0.9998878,0.99989605
1361.6986428163946,0.99987704,0.9998989
1361.719075818488,0.99971414,0.9998986
1361.7395088203411,0.9997834,0.99989897
1361.759941821736,0.999816,0.9999001
1361.780374822898,1.0000297,0.9998995
1361.8008079238207,0.9998075,0.99990106
1361.821240924517,0.99992734,0.999901
1361.8416738249798,0.9998575,0.9999006
1361.8621069249712,0.9996883,0.999899
1361.8825399247362,0.99983907,0.9998921
1361.9029728242676,1.000027,0.9998924
1361.9234059235605,0.999928,0.99989116
1361.9438389223942,1.0000713,0.9998901
1361.9642718209943,0.99999195,0.9998881
1361.9847049193559,0.99993056,0.99988645
1362.0051379172583,0.9998921,0.9998843
1362.0255708151599,0.9997741,0.9998836
1362.04600391259,0.9999539,0.9998844
1362.066436909794,0.99978423,0.99988353
1362.0868699065322,0.99999213,0.99988025
1362.1073029032632,0.9997866,0.99987876
1362.127735799535,0.9998791,0.99987704
1362.1481688955755,0.99992657,0.9998764
1362.1686018911423,0.99983466,0.99987394
1362.1890348867164,0.99972725,0.99987257
1362.2094678818248,0.9999211,0.99987
1362.2299008766931,0.99992406,0.99986506
1362.250333871336,0.99987465,0.99986005
1362.270766865513,0.9997494,0.99985725
1362.29119985945,0.9998932,0.9998543
1362.3116328531614,0.9998513,0.9998517
1362.3320659466408,0.99980223,0.99985015
1362.3524988398785,0.9999626,0.9998495
1362.3729318326587,0.9998614,0.99984545
1362.3933649251994,0.99972695,0.9998418
1362.4137978175131,0.99979025,0.99983925
1362.4342309093627,0.99989367,0.9998355
1362.4546639012115,0.99984056,0.9998312
1362.4750967925866,0.9998687,0.9998293
1362.4955298837376,0.99986047,0.9998243
1362.515962874415,0.9998845,0.99981993
1362.5363957650989,0.99987483,0.99981564
1362.5568288553186,0.99985313,0.999811
1362.5772618453047,0.99986917,0.99980676
1362.5976947348172,0.9999433,0.9998021
1362.6181278243384,0.99984974,0.99979824
1362.638560813386,0.99978566,0.9997967
1362.658993802208,0.99969167,0.99979454
1362.6794267907972,0.9999169,0.9997899
1362.6998597789207,0.99986374,0.9997838
1362.720292766804,0.99960434,0.9997803
1362.7407257546947,0.9997632,0.9997787
1362.7611587418796,0.99982,0.9997728
1362.7815917290718,0.99968594,0.9997672
1362.8020247157983,0.9998899,0.99976116
1362.822457702292,0.9996647,0.9997581
1362.8428906885456,0.9997215,0.9997529
1362.8633236745736,0.9997731,0.9997512
1362.8837566601287,0.9997948,0.99974835
1362.904189745459,0.99994147,0.99974054
1362.924622630555,0.9996064,0.9997352
1362.9450556154188,0.9996897,0.99973315
1362.9654887000434,0.9997129,0.9997297
1362.985921584208,0.9996407,0.9997297
1363.0063545681332,0.9995989,0.9997267
1363.0267876518337,0.9997073,0.99972296
1363.047220535067,0.99968606,0.99972284
1363.067653518301,0.9995837,0.9997175
1363.088086601063,0.9996633,0.99971354
1363.1085194835978,0.9998074,0.9997066
1363.1289525656612,0.9996389,0.9997036
1363.149385547731,0.99974066,0.99969745
1363.1698185293353,0.9995553,0.99968964
1363.210684491838,0.9996273,0.99968606
1363.231117472511,0.9996886,0.9996802
1363.2515504531766,0.99970734,0.9996764
1363.2719834333839,0.99973685,0.99967384
1363.2924164133583,0.9997668,0.9996732
1363.3128494928606,0.99974465,0.99966973
1363.3332823723686,0.99962854,0.999665
1363.3537153514117,0.99962264,0.9996629
1363.3741484302154,0.9996247,0.9996598
1363.3945813085593,0.9996366,0.99965554
1363.415014286904,0.9996738,0.99965453
1363.4354473647763,0.9995681,0.9996507
1363.4558802424217,0.9995584,0.9996449
1363.4763133198358,0.9996133,0.9996413
1363.4967461970082,0.999716,0.99963945
1363.517179173723,0.99963844,0.99963623
1363.5376122502057,0.9996364,0.9996346
1363.5580451264468,0.99961257,0.9996333
1363.5784781024631,0.99972546,0.99963105
1363.5989111780145,0.9996098,0.99962705
1363.6193440535571,0.999691,0.9996236
1363.6397770286421,0.9998383,0.9996215
1363.6602101032622,0.99966383,0.99962103
1363.6806429778735,0.999595,0.99962026
1363.7010759520272,0.9996169,0.99961925
1363.7215090261816,0.9996875,0.99961466
1363.7419419998623,0.9997634,0.99961454
1363.762374873084,0.9996271,0.99961394
1363.782807946307,0.9994782,0.9996096
1363.8032409190564,0.9995798,0.99960864
1363.823673991581,0.99961495,0.9996087
1363.8441068638713,0.99965984,0.99960786
1363.8645398359222,0.99968344,0.9996105
1363.8849729075155,0.9996121,0.9996089
1363.9054057788744,0.9994837,0.99960905
1363.925838749994,0.9994774,0.99960715
1363.9462718208888,0.99962455,0.9996066
1363.966704691542,0.9995988,0.99961025
1363.9871376617375,0.9995649,0.9996072
1364.007570731701,0.999566,0.9996057
1364.02800360143,0.9994842,0.99960256
1364.0484365709199,0.99961334,0.9996002
1364.068869639952,0.99961394,0.9995973
1364.0893025087425,0.999327,0.9995971
1364.1097354773083,0.99954104,0.9995937
1364.130168545642,0.9996302,0.9995912
1364.1506015137347,0.99966455,0.9995891
1364.1710343813684,0.9996268,0.99959016
1364.1914674487707,0.99963766,0.99958783
1364.2119004159322,0.9998554,0.9995846
1364.232333382868,0.9996423,0.9995817
1364.2527663493383,0.999722,0.9995814
1364.2731992158078,0.99946797,0.9995811
1364.293632281806,0.9995766,0.9995819
1364.3140652475777,0.99945354,0.99958277
1364.3344981128757,0.99959403,0.9995836
1364.3549311781826,0.99955684,0.9995843
1364.375364143023,0.9995222,0.9995835
1364.3957970076299,0.9995509,0.9995805
1364.4162300719981,0.99958044,0.9995807
1364.43666303614,0.9995292,0.99957883
1364.4570958998083,0.99963325,0.99957925
1364.4775289632526,0.9996416,0.9995792
1364.4979619264632,0.9995515,0.9995779
1364.5183947894402,0.9995475,0.9995765
1364.5388278521787,0.9995927,0.99957675
1364.559260814458,0.99951917,0.99957883
1364.579693876498,0.9994982,0.9995802
1364.6001267383108,0.9995995,0.9995796
1364.6205596998916,0.99972534,0.9995828
1364.6409927610002,0.9996928,0.9995823
1364.6614257221154,0.9996418,0.9995835
1364.681858582764,0.99962693,0.99958766
1364.7022916431742,0.9995769,0.9995892
1364.7227246031252,0.9995347,0.99959064
1364.7431574630755,0.99969023,0.99959177
1364.7635905225543,0.9996331,0.9995922
1364.7840234818068,0.99963456,0.99959344
1364.8044563408257,0.9996386,0.99959403
1364.824889399606,0.9995692,0.999594
1364.8453223579272,0.99956554,0.999595
1364.8657552160148,0.9994943,0.999597
1364.8861882738638,0.99946713,0.9996009
1364.9066211314857,0.99952745,0.9996039
1364.9270541888764,0.9994565,0.9996068
1364.9474871457933,0.99965245,0.99960864
1364.9679200027167,0.9996021,0.99960715
1364.988353059176,0.999483,0.9996088
1365.0087860151616,0.99960655,0.99961144
1365.0292189711545,0.9995884,0.9996132
1365.0496519266817,0.99973273,0.9996171
1365.0700848822016,0.99962515,0.9996166
1365.0905178372632,0.9996168,0.99961865
1365.110950792092,0.99954575,0.9996224
1365.1313837464477,0.9997484,0.9996241
1365.1518167008107,0.9995969,0.9996266
1365.1722497547016,0.9996474,0.9996279
1365.1926826083654,0.99959326,0.9996312
1365.2131155617972,0.9996657,0.9996339
1365.233548614764,0.99985224,0.9996376
1365.253981467722,0.99966383,0.99964523
1365.2744145202232,0.99955463,0.9996486
1365.2948474724835,0.99961853,0.99965435
1365.3152803245175,0.9995681,0.99965566
1365.3357133760874,0.9996018,0.99965984
1365.3561463276565,0.99965334,0.9996612
1365.3765791787519,0.99965435,0.9996647
1365.3970122296232,0.99965876,0.9996669
1365.4174451802537,0.999807,0.999669
1365.437878030425,0.9996082,0.9996687
1365.458311080598,0.9997681,0.9996694
1365.4787440303044,0.9996701,0.9996704
1365.4991769797707,0.9995928,0.9996712
1365.5196099290115,0.9996684,0.99967325
1365.5400428777793,0.99973387,0.99967575
1365.5604758265545,0.9997456,0.9996776
1365.580908774864,0.9995551,0.99967945
1365.6013417229406,0.9995961,0.9996787
1365.621774670777,0.9997133,0.9996786
1365.642207618388,0.9995739,0.9996806
1365.662640565526,0.9997241,0.9996854
